seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
22	51	confirmed	51	51	1.00	कलौ निषिद्धा धर्मा: -	கலியுக நிஷித்த தர்மங்கள்	கலியுக நிஷித்த தர்மங்கள்	
23	55	confirmed	55		1.00	कर्मपरिभाषा -	கர்மபரிபாஷை	कर्मपरिभाषा	
24	64	confirmed	64		0.96	सृष्टिप्रकार: -	ஸ்ருஷ்டிப்பிரகாரம்	सृष्टिप्रकारः	
25	70	confirmed	70	70	1.00	वर्णधर्म: -	வர்ண தர்மங்கள்	வர்ண தர்மங்கள்	
26	73	confirmed	73		1.00	यजनम् -	யஜனம்	यजनम्	
27	76	unmatched				पाकयज्ञादि -	பாகயக்ஞங்கள் முதலியவை		
28	78	unmatched				अग्निहोत्रप्रशंसा -	அக்னிஹோத்ரப்ரசம்ஸை		
29	87	unmatched				सोमपान योग्या: -	ஸோமபானத்திற்குத் தக்கவர்கள்		
30	90	unmatched				सोमादौ ब्राह्मणभोजनम् -	ஸோமயாகம் முதலியவைகளில் பிராமண போஜனம்		
31	92	unmatched				आहिताग्नय: -	ஆதானம் செய்பவர்கள்		
32	95	unmatched				आधानयोग्य: काल: -	ஆதான யோக்ய காலங்கள்		
33	95	unmatched				पुनराधाननिमित्तानि -	புனராதாதன நிமித்தங்கள்		
34	98	unmatched				पूर्वमृताया: अग्निदानम् -	முன் மரித்த பார்யைக்கு அக்னிதானம்		
35	100	unmatched				विधुराग्नि सन्धानम् -	விதுராக்னி ஸந்தானம்.		
36	112	confirmed	112		1.00	याजनम् -	யாஜனம்	याजनम् ॥	
37	113	unmatched				ऋष्यादय: याजनेऽङ्गभूता: -	ருஷ்யாதிகள் யாஜனத்திற்கு அங்கம்		
38	115	unmatched				अयाज्य याजक: -	அயாஜ்யயாஜகன்		
39	116	confirmed	116	117	1.00	अध्ययनम् -	அத்யயனம்	अध्ययनम्	
40	120	unmatched				वेदाभ्यास: पञ्चविध: -	வேதாப்யாஸம் ஐந்து விதம்		
41	121	unmatched				ओङ्कारप्रशंसा -	ஓங்காரப்ரசம்ஸை		
42	122	confirmed	122		0.90	अध्यापनम्	அத்யாபனம்	अथ अध्यापनम्	
43	125	unmatched				अध्यापने योग्याः - उत्तमविद्यायाः अधमादपि ग्रहणम्	அத்யயனம் செய்விக்கத் தகுந்தவர்கள், உயர்ந்த வித்யையைத் தாழ்ந்தவனிடமிருந்தும் க்ரஹிக்கலாம்		
44	126	unmatched				लिखितपाठनिषेधः	லிகிதபாடநிஷேதம்		
45	129	unmatched				वेदविक्रयदोषः	வேதவிக்ரயம்		
46	131	confirmed	131		0.80	उपाकर्म	உபாகர்மப்ரகரணம்	उपाकरणम्	
47	144	unmatched				उपवीतादिधारणम्	உபவீதாதிதாரணம்		
48	146	unmatched				ब्रह्मचारिणो वपनम्	ப்ரம்மசாரிகளுக்கு வபனம்		
49	147	confirmed	147	147	1.00	अनध्यायः	அனத்யாயம்	अनध्यायः ।	
50	148	unmatched				मन्वादिः	மன்வாதிகள்		
51	155	unmatched				युगादिः	யுகாதிகள்		
52	161	unmatched				अनध्यायनियमापवादः	அனத்யாயத்திற்கு அபவாதம்		
53	166	unmatched		485	0.92	दानम्	தானநிரூபணம்	கோதான நிரூபணம்	nearest heading is on 485 and reads 'கோதான நிரூபணம்' — too unlike to call
54	172	unmatched				बैडाल-बकव्रतिनः	பைடாலவ்ரதிக பகவ்ரதிகர்கள்		
55	173	unmatched				गोदानम्	கோதானம்		
56	175	unmatched				धर्मदानम्	தர்மதானம்		
57	177	unmatched				महादानानि	மஹாதானங்கள்		
58	178	unmatched				सजलं दानम्	தானங்களை ஜலபூர்வமாய்க் கொடுத்தல்		
59	182	unmatched				याचने हेतवः	யாசிப்பதற்குக் காரணங்கள்		
60	184	unmatched				अन्नदानम्	அன்னதானம்		
61	188	confirmed		188	1.00	दानामुन्त्राः	தானமந்த்ரங்கள்	தானமந்த்ரங்கள்	
62	194	unmatched				दानार्हं वस्तु	தானார்ஹமான வஸ்து		
63	195	unmatched				दानाय देशकालौ	தானத்தின் தேசகாலங்கள்		
64	200	confirmed		201	1.00	दानयोग्याः -	தானயோக்யர்கள்	தானயோக்யர்கள்	
65	202	unmatched				ब्राह्मणोऽष्टविधः -	எட்டுவித பிராமணர்		
66	205	unmatched				अब्राह्मणः -	அப்ராம்மணன்		
67	206	unmatched				वेदपारगः =	வேதபாரகன்		
68	206	unmatched				गुरवे प्रथमं दानम् -	முதலில் குருவுக்கு தானம்		
69	209	unmatched				दूरस्थे प्रतिग्रहीतरि दानम् -	தூரஸ்ததான யோக்ய விஷயத்தில் தானம்		
70	212	unmatched				दानायोग्यः -	தானத்திற்கு அயோக்யன்		
71	215	unmatched				वृषलीपतिः -	வ்ருஷளீபதி		
72	217	unmatched				वृषलः -	வ்ருஷளன்		
73	218	unmatched				प्रतिग्रहः -	ப்ரதிக்ரஹம்		
74	222	unmatched				राज्ञः प्रतिग्रहः -	ராஜப்ரதிக்ரஹம்		
75	223	unmatched				शूद्रात्प्रतिग्राह्याः -	சூத்ரனிடமிருந்தும் க்ரஹிக்கக் கூடியவை		
76	224	unmatched				प्रतिग्रहे आपद्धर्मः -	ஆபத்தில் க்ரஹிக்கக் கூடியவைகள்		
77	225	unmatched				अनापदि प्रतिग्रहः -	ஆபத்தில்லாத போதும் கிரஹிக்கக் கூடியவை.		
78	227	unmatched				अभ्युदयग्रहणे न दोषः -	அப்யுதயத்தை க்ரஹிப்பதால் தோஷமில்லை.		
79	230	unmatched				असत्प्रतिग्रहः पञ्चविधः -	அஸத் ப்ரதிக்ரஹம் ஐந்துவிதம்		
80	232	unmatched				अज्ञातग्रहणे अदोषावहाः -	அறியாமல் க்ரஹித்தால் தோஷமற்றவை		
81	235	confirmed		235	0.96	विप्राय वृत्त्यन्तरम् -	பிராமணனுக்கு இதர வ்ருத்திகள்	பிராமணனுக்கு இதரவிருத்திகள்	
82	239	confirmed	239	239	1.00	आपद्वृत्तिः -	ஆபத் வ்ருத்தி	ஆபத் வ்ருத்தி	
83	242	unmatched				कृषि: वर्ज्या -	க்ருஷி கூடாதென்பது		
84	253	unmatched				खलयज्ञ: -	கலயக்ஞம்		
85	254	confirmed	254	254	0.92	क्षत्रियधर्म: -	க்ஷத்ரிய தர்மம்	क्षत्रियधर्माः	
86	265	confirmed	265		0.90	वैश्यधर्म: -	வைச்யதர்மம்	वैश्यधर्माः	
87	266	confirmed	266		0.90	शूद्रधर्म: -	சூத்ர தர்மம்	शूद्रधर्माः	
88	277	confirmed		278	0.95	ब्राह्मणमहिमा -	பிராமணர்களின் சிறப்பு	ப்ராமணர்களின் சிறப்பு	
89	280	unmatched				अनुलोमजा: -	அனுலோமஜாதி		
90	285	unmatched				कुण्डगोलादय: -	குண்டகோளகாதி ஜாதி		
91	286	unmatched				प्रतिलोमजा: -	ப்ரதிலோமன்		
92	290	unmatched				अनुलोमप्रतिलोमयो: उत्कर्षापकर्ष: -	அனுலோம ப்ரதிலோமஜாதிகளின் ஏற்றத் தாழ்வு		
93	293	confirmed		293	1.00	संस्कारा:-४० -	நாற்பது ஸம்ஸ்காரங்கள்	நாற்பது ஸம்ஸ்காரங்கள்	
94	298	confirmed	298	299	1.00	गर्भाधानम् -	கர்ப்பாதானம்	गर्भाधानम्	
95	314	confirmed	314	314	1.00	पुंसवनम् -	பும்ஸவனம்	पुंसवनम्	
96	316	confirmed	316	316	1.00	सीमन्तोन्नयनम् -	ஸீமந்தோன்னயனம்	सीमन्तोन्नयनम् ।	
97	318	confirmed	318	319	1.00	जातकर्म -	ஜாதகர்மம்	जातकर्म	
98	325	confirmed	325	326	1.00	नामकरणम् -	நாமகரணம்	नामकरणम् ।	
99	331	confirmed	331	331	1.00	कर्णवेधनम् -	காதுகுத்தல்	कर्णवेधनम्	
100	331	confirmed	331	331	1.00	निष्क्रमणम् -	நிஷ்க்ரமணம்	निष्क्रमणम्	
101	332	confirmed	332	332	1.00	अन्नप्राशनम् -	அன்னப்ராசனம்	अन्नप्राशनम्	
102	333	confirmed		334	1.00	चौलम् -	சௌளம்	சௌளம்	
103	336	confirmed	336	337	1.00	स्त्रीणां जातकर्मादि -	பெண்களின் ஜாதகர்ம முதலியன	स्त्रीणां जातकर्मादि	
104	339	confirmed	339	339	1.00	अक्षराभ्यास: -	அக்ஷராப்யாஸம்	அக்ஷராப்யாஸம்	
105	341	confirmed	341		0.96	अनुपनीतधर्मा: -	அனுபநீத தர்மங்கள்	अनुपनीतधर्माः	
106	347	confirmed	347		1.00	उपनयनम् -	உபநயன ப்ரகரணம்	उपनयनम्।	
107	355	confirmed	355	355	0.90	उपनयनाय गौणः कालः	உபநயனத்திற்கு கௌணகாலம்	உபநயனத்தில் கௌணகாலம்	
108	360	unmatched				उपवीत निर्माणम्	பூணூல் செய்வது		
109	370	unmatched				उपनयनदीक्षायां उपवीतहानौ	உபநயன தீக்ஷையில் உபவீதத்திற்கு ஹானி வந்தால்		
110	371	unmatched				दण्डः	தண்டம்		
111	374	unmatched				अजिनम्	அஜினம்		
112	375	unmatched				वस्त्रम्	வஸ்த்ரம்		
113	380	unmatched				मेखला	மேகலா		
114	382	confirmed	382	382	1.00	भिक्षाचरणम्	பிக்ஷாசரணம்	भिक्षाचरणम्	
115	392	confirmed	392		1.00	सन्ध्योपक्रमः	ஸந்த்யோபக்ரமம்	सन्ध्योपक्रमः	
116	393	confirmed	393	393	1.00	समिदाधानम्	ஸமிதாதானம்	समिदाधानम्	
117	396	confirmed		397	0.94	जातकर्मदीनां मुख्यकालातिक्रमे प्रायश्चित्तम्	ஜாதகர்மாதி்கள் முக்ய காலத்தில் செய்யப்படாவிடில் ப்ராயச்சித்தம்	ஜாதகர்மாதி்கள் உரிய காலத்தில் செய்யப்படாவிடில் ப்ராயச்சித்தம்	
118	397	unmatched				ब्राह्मणभोजनम्	பிராம்மண போஜனம்		
119	398	unmatched				मातरि रजस्वलायां गर्भिण्यां वा उपनयनं न कार्यम्	தாய் ரஜஸ்வலை அல்லது கர்ப்பிணியாய் இருந்தால் புத்ரர்களுக்கு உபநயனாதிகள் கூடாது		
120	399	confirmed		400	1.00	उपनयनकर्ता	உபநயனகர்த்தா	உபநயன கர்த்தா	
121	402	confirmed		402	0.81	यमलादीनां उपनयनम्	இரட்டைப் பிள்ளை முதலியவரின் உபயநனம்	இரட்டையர் முதலியவரின் உபநயனம்	
122	403	unmatched				मूकादीनां उपनयनम्	ஊமை முதலியவர் உபநயனம்		
123	406	unmatched				औरसादयः द्वादश पुत्राः	ஔரஸாதிகளான (12) புத்ரர்கள்		
124	412	unmatched				पुत्रस्वीकारः	புத்ர ஸ்வீகாரம்		
125	419	unmatched				गुर्वादयः	குருமுதலியவர்கள்		
126	430	unmatched				उपचरणे हेतुः	உபசரிப்பில் காரணம்		
127	432	unmatched				पथिदाने हेतुः	வழி கொடுப்பதற்கு காரணம்.		
128	435	confirmed	435	435	1.00	अभिवादनम्	அபிவாதனம்	अभिवादनम्	
129	452	confirmed	452	453	1.00	प्रत्यभिवादनम्	ப்ரத்யபிவாதனம்	प्रत्यभिवादनम्	
130	456	confirmed		456	0.86	ब्रह्मचारिधर्माः	ப்ரம்மசாரி தர்மம்	ப்ரம்மசாரி தர்மங்கள்	
131	473	confirmed		474	0.81	वेदव्रतानि	வேதவ்ரதங்களின்	வேதவ்ரதங்கள் நான்கு	
132	476	confirmed	476		1.00	पुनरुपनयनम्	புனருபநயனம்	पुनरुपनयनम्	
133	482	confirmed	482	482	1.00	ब्रह्मचर्यकालावधिः	ப்ரம்மசர்ய காலத்தின் எல்லை	ब्रह्मचर्यकालावधिः	
134	484	unmatched				गोदानम्	கோதானம்		
135	487	confirmed	487		1.00	स्नातकविधिः	ஸ்நாதகவிதி	स्नातकविधिः	
136	488	confirmed	488		0.91	नैष्ठिकब्रह्मचर्य धर्माः	நைஷ்டிக ப்ரம்மசாரி தர்மம்	नैष्ठिकब्रह्मचारिधर्माः	
137	499	confirmed	499	499	1.00	स्नातक धर्माः	ஸ்நாதக தர்மங்கள்	स्नातकधर्माः ।	
138	503	confirmed	503		1.00	विवाहः	விவாஹம்	विवाहः	
139	514	unmatched				पितृभगिनीमातुलसुताविवाहनिषेधः	அத்தையின் பெண், மாதுலனின் பெண் இவர்களுடன் விவாஹம் கூடாதென்பது		
140	530	confirmed	530	530	0.89	मातुलसुताविवाहः	மாதுலஸுதாவிவாஹம்	மாதுல ஸுதா விவாஹ விஷயம்	
141	538	confirmed	538		0.93	विवाहे वर्ज्यानि कुलानि	விவாஹத்தில் தள்ளக் கூடிய குலம்	विवाहे वर्जनीयानि कुलानि	
142	542	confirmed		542	0.94	असवर्णा विवाहः	ஸவர்ணையல்லாதவளின் விவாஹம்	ஸவர்ணையல்லாதவளுடன் விவாஹம்	
143	547	confirmed	547	547	1.00	वरलक्षणम्	வரனின் லக்ஷணம்	वर लक्षणम्	
144	551	confirmed	551	551	1.00	कन्यादानकालः	கன்யாதான காலம்	कन्यादानकालः	
145	558	unmatched				विवाहमध्ये कन्यायाः रजस्वलात्वे विधिः	விவாஹமத்தியில் பெண் ரஜஸ்வலையானால் விதி		
146	560	unmatched				कन्यादत्तापहारः	பெண்ணைக் கொடுத்துப் பிறகு அபஹரித்தால்		
147	570	confirmed		571	1.00	कन्यादानायार्हाः	கன்யாதானம் செய்ய உரியவர்	கன்யாதானம் செய்ய உரியவர்	
148	572	confirmed	572		0.92	ब्राह्मादिविवाठभेदः	ப்ராம்ஹம் முதலிய விவாஹபேதம்	ब्राह्मादिविवाहभेदाः ।	
149	592	confirmed		592	1.00	निर्दिष्टेकाले शोभनद्वयनिषेधः	ஒரே காலத்தில் இரண்டு சோபனங்கள் கூடாது	ஒரே காலத்தில் இரண்டு சோபனங்கள் கூடாது	
150	596	unmatched				यमलयोः ज्यायःकनीयस्त्वनिर्णयः	இரட்டைப் பிள்ளைகளுள் ஜ்யேஷ்ட கனிஷ்டர்களை நிர்ணயித்தல்		
151	598	confirmed	598	598	0.93	सीमन्तजयोः ज्येष्ठमासे विवाहादिनिषेधः	ஸீமந்த ஜாதகர்களுக்கு ஜ்யேஷ்டமாஸத்தில் விவாஹாதிகளின் நிஷேதம்	सीमन्तजातयोर्ज्येष्ठमासे विवाहादिनिषेधः	
152	600	confirmed	600		0.97	विवाहे निषिद्धमासाः	விவாஹ நிஷித்தமாஸங்கள்	विवाहनिषिद्धमासाः ।	
153	604	confirmed	604	604	1.00	ऋद्धिपरीक्षा	ருத்திபரீக்ஷை	ऋद्धिपरीक्षा	
154	606	confirmed	606	607	0.98	कन्यादान कालनियमक्रमाः	கன்யாதான கால நியம க்ரமங்கள்	कन्यादानकालनियमक्रमः	
155	610	confirmed	610	610	1.00	औपासनारम्भकालः	ஔபாஸநாரம்பகாலம்	औपासनारम्भकालः	
156	611	confirmed		612	1.00	स्थालीपाकारम्भः	ஸ்தாலீபாகாரம்பம்	ஸ்தாலீபாகாரம்பம்	
157	615	confirmed	615		1.00	अधिवेदनम्	அதிவேதனம், (மூத்தாள் இருக்கும்போது இளையாளை மணப்பது)	अधिवेदनम् ।	
158	619	confirmed	619	619	1.00	अर्कविवाहः	- எருக்கு விவாஹம்	अर्कविवाहः	
159	620	confirmed	620		0.84	द्वितीयविवाहादौ कालः	- இரண்டாவது முதலிய விவாஹங்களின் காலம்	द्वितीयादिविवाहकालः	
160	621	confirmed	621		1.00	परिवेदनम्	- பரிவேதனம் (ஜ்யேஷ்டன் விவாஹ மில்லாமல் இருக்கக் கனிஷ்டனின் விவாஹம்)	परिवेदनम् ।	
161	625	unmatched				पतित संबन्धः दुष्टः	- பதிதர்களுடன் ஸம்பந்தம் பாதித்யத்தைத் தரும்		
162	627	unmatched				पतितजातानां पतितत्वम्	- பதிதர்களுக்குப் பிறந்த பிள்ளைகளும் பதிதர்கள்		
163	628	unmatched				पतितजातायाः कन्यायाः न पातित्यम्	- பதிதனுக்குப் பிறந்த பெண்பதிதை அல்ல		
164	631	confirmed		630	0.92	स्त्रीरक्षणम् स्त्रीधर्मः	- ஸ்த்ரீகளைக் காப்பாற்றும் முறை; ஸ்த்ரீதர்மம் முதலியன	ஸ்த்ரீகளைக் காப்பாற்றும் முறை - ஸ்த்ரீ தர்மம்	
165	650	confirmed	650	650	1.00	गर्भिणीधर्मः	- கர்ப்பிணீ தர்மம்	கர்ப்பிணீ தர்மம்	
166	656	confirmed	656	656	1.00	विधवाधर्मः	- விதவா தர்மங்கள்	விதவாதர்மங்கள்	
167	659	confirmed	659		1.00	अनुगमनम्	- அனுகமனம்	अनुगमनम् ।	
168	667	confirmed		667	1.00	व्यभिचारिणी गर्हा	- வ்யபிசாரிணியின் நிந்தை	வ்யபிசாரிணியின் நிந்தை	
169	670	confirmed	670	670	1.00	गृहस्थधर्माः	- க்ருஹஸ்த தர்மங்கள்	गृहस्थधर्माः ।	
170	674	confirmed	674	674	1.00	गार्हस्थ्यप्रशंसा	- க்ருஹஸ்தாச்ரமத்தின் ப்ரசம்ஸை	गार्हस्थ्यप्रशंसा ॥	
171	691	confirmed	691	691	1.00	वानप्रस्थधर्माः	- வானப்ரஸ்த தர்மங்கள்	वानप्रस्थधर्माः	
172	700	confirmed	700		1.00	यतिधर्माः	- யதி தர்மங்கள்	यतिधर्माः	
173	714	unmatched				सन्यास फलम्	- ஸன்யாஸ பலன்		
174	719	confirmed		719	0.89	क्षत्रियादीनां न सन्यासः	- க்ஷத்ரியர் முதலியவர்க்கு ஸன்யாஸமில்லை என்பது	க்ஷத்ரியர் முதலியவர்க்கு ஸந்யாஸமில்லை	
175	721	unmatched				सन्यासाईन्त्यै कृच्छ्रविधानम्	ஸந்யாஸத்தில் யோக்யதைக்காக க்ருச்ரவிதானம்		
176	722	confirmed	722		0.87	दैवादि श्राद्धाष्टकम्	தைவம் முதலிய எட்டு ச்ராத்தங்கள்	दैवादिश्राद्धाष्टकनिरूपणम्	
177	724	confirmed	724	725	1.00	सन्यासक्रमः	ஸந்யாஸக்ரமம்	सन्यासक्रमः ।	
178	740	confirmed	740	741	1.00	उपदेशक्रमः	உபதேசக்ரமம்	उपदेशक्रमः ।	
179	743	confirmed	743	743	1.00	आतुरसन्यासकल्पः	ஆதுரஸந்யாஸகல்பம்	आतुरसन्यासकल्पः	
180	746	confirmed	746	746	1.00	सन्यासभेदाः	ஸந்யாஸபேதங்கள்	सन्यासभेदाः	
181	746	unmatched				कुटीचकधर्माः	குடீசக தர்மங்கள்		
182	751	confirmed	751	751	1.00	बहूदकधर्माः	பஹூதக தர்மங்கள்	बहूदकधर्माः	
183	752	confirmed	752	752	1.00	हंसधर्माः	ஹம்ஸ தர்மங்கள்	हंसधर्माः	
184	753	confirmed	753	754	1.00	परमहंसधर्माः	பரமஹம்ஸ தர்மங்கள்	परमहंसधर्माः ॥	
185	761	confirmed	761		0.81	यतेः आह्निकधर्माः	யதியின் ஆன்ஹீக தர்மங்கள்	यत्याह्निकधर्माः	
186	776	confirmed	776	776	1.00	चातुर्मास्यविधिः	சாதுர்மாஸ்யவிதி	चातुर्मास्यविधिः ।	
187	788	confirmed	788	789	1.00	उत्त्मा चर्या	உத்தமசர்யை	உத்தமசர்யை	
188	795	unmatched				ज्ञानं मोक्षाय	ஞானம் மோக்ஷஹேது		
189	798	unmatched				शौचादिक्रमः	சௌசம் முதலிய தன் விதி		
190	808	confirmed	808	808	1.00	देवपूजा प्रणवजपादि	தேவபூஜை ப்ரணவஜபம் முதலியவை	देवपूजाप्रणवजपादि	
191	812	confirmed		813	1.00	भिक्षाटनादिः	பிக்ஷாடனம் முதலியவை	பிக்ஷாடனம் முதலியவை	
192	837	unmatched				व्यासपूजादिः	வ்யாஸ பூஜை முதலியவை		
193	843	confirmed		843	1.00	यतेः निषिद्धानि कर्माणि	யதிக்கு நிஷித்தமானவை	யதிக்கு நிஷித்தமானவை	
