seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
21	110	unmatched				सुमङ्गल्या उपवासनिषेधः -	ஸுமங்கலி உபவாஸத் தடை		
22	111	unmatched				उपवासेऽशक्ताः -	உபவாஸமிருக்க முடியாதவர்		
23	114	unmatched				आशौचादौ उपवासः -	ஆசௌசம் முதலிய நிலையில் உபவாஸம்		
24	115	unmatched				एकादश्यां श्राद्ध प्राप्तौ -	ஏகாதசியில் சிராத்தம் நேர்ந்தால்		
25	121	unmatched				उपवासनियमाः -	உபவாஸ நியமங்கள்		
26	124	confirmed	124	124	1.00	द्वादशीनिर्णयः -	துவாதசீ நிர்ணயம்	५२. द्वादशीनिर्णयः	
27	124	confirmed	124	125	1.00	त्रयोदशीनिर्णयः -	திரயோதசீ நிர்ணயம்	त्रयोदशीनिर्णयः	
28	125	confirmed	125	126	1.00	चतुर्दशीनिर्णयः -	சதுர்தசீ நிர்ணயம்	चतुर्दशीनिर्णयः	
29	126	unmatched				अनन्त-शिवरात्रव्रतादि -	அநந்த விரதம், சிவராத்ரி விரதம், முதலியவை		
30	138	unmatched				पञ्चदशी - पूर्णिमा-अमानिर्णयः -	பஞ்சதசீ - பூர்ணிமை அமா நிர்ணயம்		
31	140	confirmed	140		1.00	इष्टिकाल निर्णयः -	இஷ்டிக்கான காலம்	इष्टिकालनिर्णयः	
32	152	unmatched				बोधायनकात्यायनमते अमा -	போதாயன - காத்யாயன மதத்தை ஒட்டி அமாவாஸ்யை		
33	159	near	161	161	1.00	नक्षत्रादिनिर्णयः -	நக்ஷத்திரம் முதலியதன் நிர்ணயம்.	नक्षत्रादि निर्णयः	contents says 159, the heading stands on 161
34	165	confirmed	165		0.91	प्रायश्चित्तं नाम	பிராயச்சித்தம் என்பது	प्रायश्चित्तम् नाम	
35	167	near	165	167	0.88	प्रायश्चित्तार्हः	பிராயச்சித்தத்திற்கு அர்ஹன்	ப்ராயச்சித்தத்துக்கு அர்ஹன்.	contents says 167, the heading stands on 165
36	168	unmatched				एकविंशतिर्नरकाः	21 நரகங்கள்		
37	169	unmatched				पापफलम्	பாபத்தின் விளைவு		
38	180	no_text				पापं नवविधम्	பாபம் 9 விதம்		
39	184	unmatched				फले तारतम्यम्	பலனில் ஏற்றத் தாழ்வு		
40	188	confirmed	188		1.00	अतिपातकानि	அதிபாதகம்	अतिपातकानि ।	
41	193	unmatched				समपातकानि	ஸமபாதகம்		
42	199	confirmed		200	1.00	उपपातकानि	உபபாதகங்கள்	உபபாதகங்கள்.	
43	202	confirmed	203		0.92	सङ्करीकरणानि	ஸங்கரீ கரணங்கள்	सङ्करीकरणादीनि ।	
44	204	unmatched				कामाकामकृतं पापम्	விரும்பியும் விரும்பாமலும் செய்தவை		
45	212	unmatched	480		0.83	मरणान्तिकप्रायश्चित्तम्	மரணம் ஈறான பிராயச்சித்தம்	नास्तिक्यप्रायश्चित्तम्।	nearest heading is on 480 and reads 'नास्तिक्यप्रायश्चित्तम्।' — too unlike to call
46	213	confirmed	213		0.83	प्रकाशरहस्यकृतपापप्रायश्चित्तम्	பிறரறிய - அறியாதவாறு செய்த பாப பிராயச்சித்தம்	प्रकाशरहस्यपापप्रायश्चित्तविचारः ।	
47	215	unmatched				परिषत्	ஸபை		
48	222	confirmed	222		1.00	प्रायश्चित्तविधानस्थलम्	பிராயச்சித்தம் விதிக்குமிடம்	प्रायश्चित्तविधानस्थलम् ।	
49	224	unmatched				ब्रह्महत्यायां - तदुद्यमे च	பிரும்மஹத்தையில், அதற்காக முயன்றால்		
50	238	unmatched				क्षत्रियादि हत्यायां	க்ஷத்திரியன் முதலானவரின் கொலையில்		
51	243	unmatched				शस्त्रग्रहणे	ஆயுதம் தரிப்பதில்		
52	245	unmatched				गोवधे	பசுவின் கொலையில்		
53	257	unmatched				प्राण्यन्तरहनने	மற்ற பிராணி கொலையில்		
54	263	unmatched				वृक्षच्छेदादौ	மரம் முதலியதை வெட்டுவதில்		
55	265	unmatched				सुरापानादौ	ஸுராபானம் முதலியதில்		
56	275	unmatched				विण्मूत्रादिभक्षणे	மலமூத்ராதிகளை உண்டால்		
57	277	unmatched				अपेयपाने	பருகத் தகாததைப் பருகினால்		
58	284	unmatched				परस्वहरणे	பிறரது உரிமைப் பொருளைத் திருடினால்		
59	300	unmatched				माध्यस्थ्येन धनग्रहणे	மத்யஸ்தத்தால் தனம் பெற்றால்		
60	302	unmatched				गुरुतल्पगमने	குருதல்ப கமனத்தில்		
61	309	unmatched				सवर्णागमने	ஸவர்ணையுடன் சேர்வதில்		
62	311	unmatched				अगम्या गमने	சேரக் கூடாதவளுடன் சேர்வதில்		
63	330	unmatched				रेतः स्खलने	சுக்லம் நழுவச் செய்தால்		
64	334	unmatched				ऋतुकालातिक्रमे	ருதுகாலம் தவறினால்		
65	335	unmatched				शपथोल्लङ्घने	சபதம் மீறினால்		
66	338	unmatched				परपुरुषगमनादौ स्त्रिया:	பரபுருஷனுடன் சேர்வதால் ஸ்த்ரீக்கு		
67	340	unmatched				गर्भपाते	கர்ப்பச் சிதைவிற்கு		
68	341	unmatched				व्यभिचारे	விபசாரத்தில்		
69	343	unmatched				भर्तृभार्यापरित्यागे	கணவன் - மனைவி தியாகத்தில்		
70	359	confirmed	359		0.82	कर्मणः पातित्यहेतुत्वम्	நடைமுறை பதித நிலைக்குக் காரணம்	कर्मण एव पातित्यहेतुत्वनिरूपणम् ।	
71	364	unmatched				मिथ्याभिशंसने	பொய்யான அபவாதத்தில்		
72	368	unmatched				ब्राह्मणापगुरणादौ	பிராமணனை அடித்தல் முதலியதில்		
73	371	unmatched				गुर्वाद्यधिक्षेपे	குரு முதலியவர் மீது வீண் அபவாதத்தில்		
74	375	unmatched				अशुचौ आचारे	அசுசி நடைமுறையில்		
75	377	unmatched				अभिचारे शापे -	அபிசாரம் - சாபத்தில்		
76	380	unmatched				भृतकाध्यापनाध्ययने -	கூலிக்கு வேதம் கற்பித்தலில் கற்பதில்		
77	383	unmatched				अनाश्रमित्वे -	ஆச்ரமமின்றி வாழ்வதில்		
78	384	unmatched				ऊढाया: पुनरुद्वाहे -	முன் மணக் கப்பட்டவளை மணந்தால்		
79	385	unmatched				सगोत्रादिविवाहे -	ஸகோத்ர விவாஹம் முதலியதில்		
80	387	unmatched				परिवेदने -	மூத்தவனிருக்க இளையவன் மணந்தால்		
81	389	unmatched				उष्ट्रादियाने -	ஒட்டகை முதலியதன் மீதேறிச் சென்றால்		
82	390	unmatched				कारागृहवासे -	சிறையிலிருந்ததால்		
83	392	unmatched				कुग्रामवासे -	குக்ராம வாஸத்தில்		
84	392	unmatched				दुर्देशगमने -	துர்தேசம் சென்றால்		
85	393	unmatched				श्वसृगालादिदंशे -	நாய் - நரிமுதலியவை கடித்தால்		
86	400	unmatched				शरीरे क्रिम्युत्पत्तौ -	உடலில் புழு தோன்றினால்		
87	404	unmatched				अभोज्य भोजने -	உண்ணத் தகாததை உண்டால்		
88	410	unmatched				भोजनानर्हसत्रादौ भोजने -	உணவேற்கத் தகாத ஸத்ரம் முதலியதில் உண்டால்		
89	426	unmatched				कालोचित संस्काराकरणे -	காலத்திற்கேற்ற ஸம்ஸ்காரத்தைச் செய்யாவிடில்		
90	430	unmatched				उष्णोदकस्नाने -	வெந்நீரில் நீராடினால்		
91	431	unmatched				यज्ञोपवीतादिभ्रंशे -	பூணூல் முதலியவை நீங்கினால்		
92	432	unmatched				भोजनकाले क्षुतादौ -	உண்ணும் போது தும்மல் முதலியவையில்		
93	433	unmatched				शिवनिर्माल्य भोजने -	சிவனது நிர்மால்யத்தை உண்டால்		
94	434	unmatched				पत्नयादिभि: सहभोजने -	மனைவி முதலியவருடன் உண்டால்		
95	435	unmatched				नीलवस्त्रधारणे -	நீல ஆடை தரித்தால்		
96	438	unmatched				परान्न भोजन- विषमवितरणादौ -	பிறரது உணவு பக்ஷபாதத்துடன் பரிமாறுதல் முதலியவையில்		
97	438	unmatched				नवश्राद्धादौ भोजने	நவ சிராத்தம் முதலியதில் உண்டால்		
98	445	unmatched				श्राद्धचौलादि शिष्टान्न भोजने	சிராத்த சௌளாதிகளில் மீதியை உண்டால்		
99	449	unmatched				अविक्रेयविक्रये	விற்கத் தகாததை விற்பதால்		
100	449	unmatched				वार्धुषिकादिजीवने	வட்டி வாங்கி ஜீவிப்பதில்		
101	456	confirmed	456		0.87	ऋणादिकृत्वो व्रताद्याचरणे	கடன் வாங்கி விரதம் முதலியவை செய்தால்	ऋणादि कृत्वा व्रताद्याचरण निषेधः ।	
102	457	unmatched				अविक्रेयविक्रये	விற்கத் தகாததை விற்பதில்		
103	461	unmatched				मरणोद्यमानिवृत्तौ	தற்கொலை முயற்சியிலிருந்து திரும்பினால்		
104	466	unmatched				पारिव्राज्यात् प्रच्युतौ	துறவிலிருந்து நழுவினால்		
105	470	unmatched				आत्मघातिनः शववहनादौ	தற்கொலை செய்துகொண்டவனின் சவத்தின் ஈமச் சடங்கில் கலந்துகொண்டால்		
106	473	unmatched				अनृतभाषणे	பொய் சொல்வதில்		
107	474	unmatched				मिथ्याशपथे	பொய்யாகச் சபதமிடுவதில்		
108	478	unmatched				श्रौताग्नित्यागे	சுரௌதாக்னியை விடுவதில்		
109	480	unmatched				नास्तिक्ये	நாஸ்திகத்தில்		
110	482	unmatched				पंक्तिवैषम्ये दूषणे	உணவுப் பந்தியில் பாரபக்ஷத்தில் கெடுப்பதில்		
111	484	unmatched				अनुपवीतेन कर्मकरणे	உபவீதமின்றி செயல்படுவதில்		
112	484	unmatched				शयनानर्हस्थले शयने	படுக்கத் தகாதத் தலத்தில் படுப்பதில்		
113	485	unmatched				श्राद्धे निमन्त्रितस्य कालातिक्रमे	சிராத்தத்தில் வரிக்கப்பட்டவனின் காலதாமதத்தில்		
114	486	unmatched				अनभिवाद्याभिवादनादौ	வணங்கத்தகாதவரை வணங்குவது முதலியதில்		
115	487	unmatched				दुष्टप्रतिग्रहे	தகாத தானத்தை ஏற்பதில்		
116	498	unmatched				हिरण्यहस्त्यादिप्रतिग्रहे	தங்க யானை முதலியதை ஏற்பதில்		
117	513	unmatched				पञ्चलाङ्गलप्रतिग्रहे -	ஐந்து கலப்பை ஏற்பதில்		
118	515	unmatched				धराप्रतिग्रहे -	பூமிதானத்தை ஏற்பதில்		
119	517	unmatched				विश्वचक्रप्रतिग्रहे -	விச்வ சக்ரத்தை ஏற்பதில்		
120	517	unmatched				कल्पलतापरिग्रहे -	கல்பலதை ஏற்படுதில்		
121	518	unmatched				सप्तसागरप्रतिग्रहे -	ஸப்தஸாகரத்தை ஏற்பதில்		
122	519	unmatched				चर्मधेनुप्रतिग्रहे -	தோலாலான பசுவை ஏற்பதில்		
123	521	unmatched				महाभूत घटादिप्रतिग्रहे -	மஹாபூத கடம் முதலியதை ஏற்பதில்		
124	525	unmatched				अतिपातकोपपातक संकरीकरणादीनां -	அதிபாதகம் உபபாதகம், ஸங்கரீகரணம் முதலிய வற்றிற்கு		
125	548	confirmed	548		0.83	प्राजापत्यादिकृच्छ्रम् -	பிராஜாபத்யம் முதலிய க்ருச்ரம்	प्राजापत्यकृच्छ्रलक्षणम् ।	
126	561	unmatched				पराकपर्णफलवारुणादि कृच्छ्राणि -	பராகம், பர்ணம் பலம், வாருணம் முதலிய க்ருச்ரங்கள்		
127	570	confirmed	570	571	0.88	चान्द्रायणकृच्छ्रम् -	சாந்த்ராயண க்ருச்ரம்	चान्द्रायणकृच्छ्रलक्षणम्।	
128	579	unmatched				ब्रह्मकूर्च (पञ्चगव्य) कृच्छ्रम् -	ப்ரஹ்ம கூர்ச்ச (பஞ்சகவ்ய) க்ருச்ரம்		
129	583	unmatched				कृच्छ्रप्रतिनिधिः -	க்ருச்ரத்திற்கு மாற்று		
130	587	unmatched				महानद्यः -	மஹாநதிகள்		
131	589	unmatched				अध्ययनवेदपारायणादौ अधिकारः -	அத்யயனம், வேதபாராயணம் முதலியவற்றில் தகுதி		
