seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
29	283	confirmed	282	283	1.00	रजस्वलास्नानम्	ரஜஸ்வலாஸ்நானம்	रजस्वलास्नानम्	
30	295	confirmed		295	0.82	आतुरस्नानम्	பிணியாளர் ஸ்நானம்	பிணியாளர் ஸ்நானவிதி	
31	297	confirmed	297	297	0.81	काम्यस्नानम्	காம்ய ஸ்நானம்	காம்ய ஸ்நானங்கள்	
32	300	confirmed	300	300	1.00	माघस्नानम्	மாக ஸ்நானம்	माघस्नानम्	
33	307	confirmed	307	308	1.00	मलापकर्षणस्नानम्	மலாபகர்ஷண ஸ்நானம்	मलापकर्षणस्नानम्	
34	317	confirmed	317	317	1.00	नरकचतुर्दशीस्नानम्	நரகசதுர்தசீ ஸ்நானம்	नरकचतुर्दशीस्नानम्	
35	322	confirmed	322	322	1.00	क्रियास्नानम्	கிரியாஸ்நானம்	क्रियास्नानम्	
36	327	confirmed	327	327	1.00	नदीरजो दोषनिर्णयः	நதிகளின் ரஜோதோஷ நிர்ணயம்	नदीरजोदोषनिर्णयः	
37	335	confirmed	335	335	1.00	गौणस्नानानि	கௌண ஸ்நானங்கள்	गौणस्नानानि	
38	347	confirmed	347	347	0.85	ऊर्ध्वपुण्ड्रधारणम्	ஊர்த்வபுண்ட்ர தாரணம்	ஊர்த்வ புண்ட்ர தாரண விதி	
39	386	unmatched				त्रिपुण्ड्रधारणम्	த்ரிபுண்ட்ரதாரணம்		
40	427	unmatched				सन्ध्योपासनम्	ஸந்த்யோபாஸனம்		
41	442	confirmed	442	442	1.00	सन्ध्योपासनकालः	ஸந்த்யோபாஸன காலம்	सन्ध्योपासनकालः ॥	
42	450	confirmed	450	451	0.93	प्रातःसन्ध्या	ப்ராதஸ்ஸந்த்யா	ப்ராதஸ்ஸந்த்யை	
43	475	confirmed	475	475	1.00	जपदेशासनादिविधिः	ஜபதேசாஸநாதிவிதி	जपदेशासनादिविधिः ।	
44	484	unmatched				प्राणायामः	ப்ராணாயாமம்		
45	498	confirmed	498		1.00	गायत्र्यावाहन व्याहृत्यर्थौ	காயத்ரீ ஆவாஹனம், வியாஹ்ருதியின் பொருள்	गायत्र्यावाहनव्याहृत्यर्थौ ।	
46	502	confirmed	502		0.96	गायत्र्यर्थः	காயத்ரியின் பொருள்	गायत्र्यर्थ:	
47	506	confirmed	506		0.94	गायत्रीशिरसोऽर्थः	காயத்ரீ சிரஸின் பொருள்	अथ गायत्रीशिरसोऽर्थः	
48	509	unmatched				ऋषिच्छन्दो देवताः	ருஷி சந்தஸ் தேவதை		
49	518	unmatched				गायत्रीन्यासः	காயத்ரீ நியாஸம்		
50	522	confirmed	522	522	1.00	मुद्राविधिः	முத்ராவிதி	मुद्राविधिः	
51	528	confirmed	528	528	1.00	गायत्रीध्यानम्	காயத்ரீ த்யானம்	गायत्रीध्यानम् ॥	
52	532	confirmed	532		1.00	गायत्रीमहिमा	காயத்ரியின் பெருமை	गायत्रीमहिमा ।	
