seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
48	382	unmatched				वृतब्राह्मणनियम:	வரிக்கப் பெற்ற பிராமண நியமம்		
49	390	confirmed	390		0.80	श्राद्धदिने करणीयम्	சிராத்தநாளில் செய்யத் தக்கது	श्राद्धदिनकृत्यम्	
50	394	confirmed	394		0.89	श्राद्धार्हद्रव्याणि	சிராத்தத்திற்கேற்ற பொருட்கள்	श्राद्धद्रव्याणि	
51	410	unmatched				द्रव्यशुद्धि:	பொருட்களின் தூய்மை		
52	420	unmatched				श्राद्धे वृतानां तैलाभ्यङ्ग:	சிராத்த நாளில் வரிக்கப் பெற்றவரின் எண்ணெய்க் குளி.		
53	437	unmatched				श्राद्धक्रम:	சிராத்தம் செய்முறை		
54	438	unmatched				मण्डलं	மண்டல அமைப்பு		
55	441	unmatched				पाद्यासनाद्युपचारा:	பாத்ய - ஆஸநாதி உபசாரங்கள்		
56	485	unmatched				अग्नौ होम:	அக்னியில் ஹோமம்		
57	494	unmatched				परिवेषणे नियम:	பரிமாறுவதின் முறை		
58	498	unmatched				भोजनपात्रम्	உணவிற்கான பாத்திரம்		
59	510	unmatched				भोजननियम:	உணவேற்பதில் முறை		
60	513	unmatched				अभिश्रवणम्	அபிச்ரவணம்		
61	516	unmatched				कर्तृभोक्तृनियम:	கர்த்தா - போக்தாவிற்கான முறை		
62	534	unmatched				अग्निनाशे	ஹோமாக்னி அணைந்தால்		
63	535	unmatched				विकिर-वायसपिण्डादि:	விகிரம் - வாயஸ பிண்டம் முதலியவை		
64	540	unmatched				भोजनान्ते प्रार्थना	உணவேற்றபின் வேண்டுதல்		
65	545	unmatched				हस्तप्रक्षालनाचमनादि:	கையலம்புதல் ஆசமனம் முதலியவை		
66	553	unmatched				स्वस्तिवाचनम्	ஸ்வஸ்தி வாசனம்		
67	555	unmatched				पिण्डदानम्	பிண்டதானம்		
68	567	unmatched				उच्छिष्टदेश-भोजनपात्रादिशुद्धि:	உண்ட இடம், உண்ட பாத்திரம் முதலியவற்றின் சுத்தி		
69	570	unmatched				नित्यश्राद्धवैश्वदेवादि	நித்யசிராத்தம் வைச்வ தேவம் முதலியவை		
70	575	near	577		1.00	पितृशेषभोजनम्	பித்ருசேஷத்தை உண்பது	पितृशेषभोजनम् ।	contents says 575, the heading stands on 577
71	579	unmatched				कर्तृभोक्तृनियम:	சிராத்தம் செய்தவர், உண்டவர் நியமம்		
72	582	near	585		0.97	सङ्कल्पश्राद्धविधि:	ஸங்கல்ப சிராத்தமுறை	सङ्कल्पश्राद्धविधिः	contents says 582, the heading stands on 585
73	583	near	586		0.96	आमश्राद्धविधि:	ஆம சிராத்தமுறை	आमश्राद्धविधिः	contents says 583, the heading stands on 586
74	587	unmatched				हिरण्यश्राद्धविधि:	ஹிரண்யசிராத்த முறை		
75	588	unmatched				श्राद्धमहिमा - फलंच	சிராத்தத்தின் பெருமை, பயன்		
